diagram,id,parentId,parentElement,c4Name,c4Type,c4Parent,c4Path,c4Description,c4Technology,c4RelSourceId,c4RelSourceName,c4RelTargetId,c4RelTargetName,c4RelIsTargetOf,c4RelIsSourceOf,x,y,width,height
Containers,0m8-u_lFfdSOC_3MusrR-15,,,External Partner,Person,,/External Partner,Description of external person.,,,,,,,Query Orders->Orders Web App.,390,70,200,180
Containers,0m8-u_lFfdSOC_3MusrR-16,,,Invoicing,Software System,,/Invoicing,External Invoicing System,,,,,,,Send Order Info.->Invoicing Sub-System,710,130,240,120
Containers,0m8-u_lFfdSOC_3MusrR-17,,,Order System,SystemScopeBoundary,,/Order System,,,,,,,,,60,345,980,735
Containers,0m8-u_lFfdSOC_3MusrR-18,,[object Object],Internal Administrator,Person,Order System,/Order System/Internal Administrator,Description of person.,,,,,,,Administer Orders->Orders Web App.,80,360,200,180
Containers,0m8-u_lFfdSOC_3MusrR-19,,,Retrieve Orders,Relationship,,/Retrieve Orders,API call to Microservice,API Call,0m8-u_lFfdSOC_3MusrR-20,Orders Web App.,0m8-u_lFfdSOC_3MusrR-23,Orders Microservice,,,0,-40,240,NaN
Containers,0m8-u_lFfdSOC_3MusrR-20,,[object Object],Orders Web App.,Container,Order System,/Order System/Orders Web App.,Description of web browser container role/responsibility.,e.g. JavaScript| Angular etc.,,,,,External Partner->Query Orders|Internal Administrator->Administer Orders,Retrieve Orders->Orders Microservice,370,360,240,160
Containers,0m8-u_lFfdSOC_3MusrR-21,,[object Object],Invoicing Sub-System,Software System,Order System,/Order System/Invoicing Sub-System,Sub System| detailed in another diagram,,,,,,Invoicing->Send Order Info.,,710,360,240,120
Containers,0m8-u_lFfdSOC_3MusrR-22,,[object Object],Blob Storage,Container,Order System,/Order System/Blob Storage,Azure Storage Account,Blob Storage,,,,,Orders Microservice->Store Order File,,90,880,240,120
Containers,0m8-u_lFfdSOC_3MusrR-23,,[object Object],Orders Microservice,Container,Order System,/Order System/Orders Microservice,Description of microservice type container role/responsibility.,ACA,,,,,Orders Web App.->Retrieve Orders,Store Order File->Blob Storage|Add Order Message->Message Queue|Insert Order->Database Container|Retrieve Invoices->TARGET NOT FOUND! id:undefined,390,680,200,170
Containers,0m8-u_lFfdSOC_3MusrR-24,,[object Object],Database Container,Container,Order System,/Order System/Database Container,Description of storage type container role/responsibility.,e.g. Oracle Database 12,,,,,Orders Microservice->Insert Order,,720,900,240,120
Containers,0m8-u_lFfdSOC_3MusrR-25,,[object Object],Message Queue,Container,Order System,/Order System/Message Queue,Messaging: AtMostOnce| TTL| DeadLetter| FIFO...,Azure Service Bus| Apache Kafka| etc.,,,,,Orders Microservice->Add Order Message,,720,705,240,120
Containers,qrZzWKDfphai88CJDmK_-0,,,Flow,Relationship,,/Flow,Flow description,[API Call| Message Flow],,SOURCE NOT FOUND!,,TARGET NOT FOUND!,,,0,-20,240,NaN
Containers,OzXzDcPA9vxbu3mIQLvo-0,,,Send Order Info.,Relationship,,/Send Order Info.,External System calls Sub System,API Call,0m8-u_lFfdSOC_3MusrR-16,Invoicing,0m8-u_lFfdSOC_3MusrR-21,Invoicing Sub-System,,,0,-40,240,NaN
Containers,OzXzDcPA9vxbu3mIQLvo-1,,,Query Orders,Relationship,,/Query Orders,External Partner Use Case,UI Request,0m8-u_lFfdSOC_3MusrR-15,External Partner,0m8-u_lFfdSOC_3MusrR-20,Orders Web App.,,,0,-40,240,NaN
Containers,OzXzDcPA9vxbu3mIQLvo-2,,,Administer Orders,Relationship,,/Administer Orders,Administrator Use Case,UI Request,0m8-u_lFfdSOC_3MusrR-18,Internal Administrator,0m8-u_lFfdSOC_3MusrR-20,Orders Web App.,,,0,25,240,NaN
Containers,OzXzDcPA9vxbu3mIQLvo-3,,,Store Order File,Relationship,,/Store Order File,Store the file as a Blob,API Call,0m8-u_lFfdSOC_3MusrR-23,Orders Microservice,0m8-u_lFfdSOC_3MusrR-22,Blob Storage,,,0,-15,240,NaN
Containers,gera2QAED_VQr62Xy3ii-0,,,Add Order Message,Relationship,,/Add Order Message,Add an Order Message to the Queue,API Call,0m8-u_lFfdSOC_3MusrR-23,Orders Microservice,0m8-u_lFfdSOC_3MusrR-25,Message Queue,,,0,-15,240,NaN
Containers,4mNzUKQJedYtJikZnEwG-0,,,Insert Order,Relationship,,/Insert Order,Insert Order into Database,API Call,0m8-u_lFfdSOC_3MusrR-23,Orders Microservice,0m8-u_lFfdSOC_3MusrR-24,Database Container,,,0,-15,240,NaN
Containers,4mNzUKQJedYtJikZnEwG-1,,,Retrieve Invoices,Relationship,,/Retrieve Invoices,API call to Invoicing Syb-System,API Call,0m8-u_lFfdSOC_3MusrR-23,Orders Microservice,,TARGET NOT FOUND!,,,0,-40,240,NaN
